学校id,学校名称,学校层次,学校类型,所处地区,招生办电话,招生办官网
862,西安外事学院,普通本科,综合类,陕西雁塔区,029-88513888,https://zsw.xaiu.edu.cn/
863,西安思源学院,普通本科,综合类,陕西,"400-888-6660,029-82601888,029-82601785",http://zb.xasyu.cn/
866,北京体育大学,211,体育类,北京海淀区,"010-62989047,010-62989342",http://zs.bsu.edu.cn
867,南昌工程学院,普通本科,理工类,江西青山湖区,"0791-88126666,0791-88126772",http://envo.nit.edu.cn/
868,南昌理工学院,普通本科,综合类,江西,"0791-83891958,0791-82143608",http://zsb.nut.edu.cn
869,江西科技学院,普通本科,综合类,江西,"0791-88138888,0791-88137777",http://zjc.jxut.edu.cn/ygzs.htm
870,江西中医药高等专科学校,专科（高职）,医药类,江西,"0794-8230086,18970410086",http://www.jxtcms.net/zsw/
871,江西卫生职业学院,专科（高职）,医药类,江西,"0791-85772168,0791-85772158,0791-85151888",http://zsw.jxhlxy.com.cn/
872,豫章师范学院,普通本科,师范类,江西新建区,"0791-83685811,0791-87545147",http://www.yuznu.edu.cn/html2/index9.html
873,河南中医药大学,普通本科,医药类,河南金水区,0371-86667366,http://ptzs.hactcm.edu.cn
874,江西警察学院,普通本科,政法类,江西新建区,"0791-88673333,0791-88673068",http://stu.jxga.edu.cn/news-list-zhaoshengxinxi.html
875,首都经济贸易大学,普通本科,财经类,北京丰台区,"010-83952090,010-83951799",http://zs.cueb.edu.cn
876,信阳师范学院,普通本科,师范类,河南,"0376-6391212,0376-6390601,0376-6391762",http://zs.xynu.edu.cn
878,安阳师范学院,普通本科,师范类,河南,"0372-2900135,0372-2900106",https://zs.aynu.edu.cn/
879,北京信息科技大学,普通本科,理工类,北京海淀区,010-82426126,http://zhaosheng.bistu.edu.cn
880,平顶山学院,普通本科,综合类,河南,"0375-2657796,0375-2657677,0375-2657797",http://zsxx.pdsu.edu.cn
881,北京青年政治学院,专科（高职）,语言类,北京朝阳区,"010-64724789,010-84778264,010-84778254",http://xsc.bjypc.edu.cn/zhaosheng/
882,北京信息职业技术学院,专科（高职）,理工类,北京朝阳区,"010-64353978,010-64374282",http://www.bitc.edu.cn/zsxx/
883,河南科技学院,普通本科,综合类,河南红旗区,0373-3040127,http://zsxx.hist.edu.cn/
884,黄淮学院,普通本科,综合类,河南,"0396-2853111,0396-2853178",http://zhaosheng.huanghuai.edu.cn/
885,北京工业职业技术学院,专科（高职）,理工类,北京石景山区,"010-51511538,010-51511539",http://zs.bgy.edu.cn/
886,铁道警察学院,普通本科,政法类,河南,0371-60666067,http://www.rpc.edu.cn/zsjy/index.htm
887,北京经济技术职业学院,专科（高职）,财经类,北京,"010-61595668,010-61595685",http://www.bibtedu.cn/?list-1779.html
888,萍乡学院,普通本科,综合类,江西,"0799-6682122,0799-6684491,0799-6684355",http://zsw.pxc.jx.cn/
889,景德镇学院,普通本科,综合类,江西,"0798-8336008,0798-8334044",http://zsw.jdzu.edu.cn/
890,漯河医学高等专科学校,专科（高职）,医药类,河南,"0395-2924139,0395-2124491",http://www.lhmc.edu.cn/zs/
891,新余学院,普通本科,综合类,江西,"0790-6666058,0790-6666055",http://zb.xyc.edu.cn
893,九江职业技术学院,专科（高职）,理工类,江西,"0792-8262600,0792-8177701,0792-81777022",http://www.jzp.edu.cn/zsgzc/
894,河南工学院,普通本科,理工类,河南红旗区,"0373-3691234,0373-3691071",http://zs.hait.edu.cn
895,江西工业职业技术学院,专科（高职）,综合类,江西,"0791-88351773,0791-88691909,0791-88690909",http://zsw.jxgzy.cn
896,九江职业大学,专科（高职）,综合类,江西浔阳区,"0792-8375558,0792-8377677",http://www.jjvu.jx.cn/Category_894/Index.aspx
897,北京政法职业学院,专科（高职）,政法类,北京大兴区,"010-89269998,010-89269999",http://zs.bcpl.cn/
899,北京财贸职业学院,专科（高职）,财经类,北京通州区,"010-65231250,010-65253959",http://zs.bjczy.edu.cn/
900,江西工业贸易职业技术学院,专科（高职）,综合类,江西,"0791-83777800,0791-83777842,0791-83777980",http://zsc.jxgmxy.com
902,郑州电力高等专科学校,专科（高职）,理工类,河南,"0371-62275026,0371-62275025",https://zs.zepc.edu.cn/
904,江西现代职业技术学院,专科（高职）,综合类,江西,"0791-88123456,0791-88123658",http://zsw.jxxdxy.com/
907,北京京北职业技术学院,专科（高职）,理工类,北京怀柔区,"010-89681662,010-89682407",
908,宜春职业技术学院,专科（高职）,综合类,江西,"0795-3203236,0795-3203019",http://zs.ycvc.jx.cn/
909,南昌职业大学,普通本科,综合类,江西湾里区,"0791-87190000,0791-87191111",http://zsb.nczydx.com/
910,北京交通职业技术学院,专科（高职）,理工类,北京昌平区,"010-89707874,010-80110996",http://www.jtxy.com.cn/index.php?m=content&amp;c=index&amp;a=lists&amp;catid=51
911,北京戏曲艺术职业学院,专科（高职）,艺术类,北京丰台区,010-67561657,http://117.114.161.150/
912,北京北大方正软件职业技术学院,专科（高职）,综合类,北京通州区,"010-82529571,010-82529573",http://zhaosheng.pfc.cn
913,江西交通职业技术学院,专科（高职）,综合类,江西,"0791-83806062,0791-83809767",https://zsb.jxjtxy.edu.cn/
914,抚州职业技术学院,专科（高职）,理工类,江西,"0794-7058123,0794-7058456",http://www.fzjsxy.cn/index.php/cms/item-list-category-49.shtml
915,武汉民政职业学院,专科（高职）,政法类,湖北洪山区,"027-87178319,027-87178320",http://www.whmzxy.cn/xibu/zsjyw/
917,江西应用工程职业学院,专科（高职）,理工类,江西安源区,"0799-6376776,0799-6376677",http://zsc.jxatei.net/
918,北京农业职业学院,专科（高职）,农林类,北京房山区,"010-80358899,010-82595825",https://www.bvca.edu.cn/zsw/
919,山西中医药大学,普通本科,医药类,山西万柏林区,"0351-3179767,0351-2272672",http://bkzs.sxtcm.edu.cn/
920,运城学院,普通本科,综合类,山西,"0359-2090807,0359-2090661,0359-2090662",http://www.ycu.edu.cn/zhaosheng/
921,晋中学院,普通本科,综合类,山西榆次区,"0351-3985777,0351-3985888,0351-3985510",
922,江西工程职业学院,专科（高职）,综合类,江西西湖区,0791-86587211,http://59.52.97.137:82/Item/list.asp?id=214
923,江西科技职业学院,专科（高职）,综合类,江西南昌县,"0791-85160008,0791-85160018,0791-85160028",http://zsb.jxkeda.com/
925,江西生物科技职业学院,专科（高职）,农林类,江西南昌县,"0791-85739800,0791-87877238",http://zsw.jxswkj.com/zyjs.htm
926,江西外语外贸职业学院,专科（高职）,其他,江西,"0791-88352677,0791-88352446,0791-88352447",http://zjc.jxcfs.com/
927,江西司法警官职业学院,专科（高职）,政法类,江西,"0791-83875325,0791-83875391,0791-83875259",http://www.jxsfjy.cn/
928,江西应用科技学院,普通本科,综合类,江西新建区,"0791-83653888,0791-83653777,0791-83653666",http://www.jxcsedu.com/zhaosheng/
929,西昌学院,普通本科,综合类,四川西昌市,"0834-2580038,0834-2580029",https://www.xcc.edu.cn/xcxy_zsw/index/index.html
931,江西电力职业技术学院,专科（高职）,理工类,江西,"0791-3899638,0791-3898371",
932,攀枝花学院,普通本科,综合类,四川东区,"0812-5712507,0812-3370868",http://zsw.pzhu.cn
933,炎黄职业技术学院,专科（高职）,理工类,江苏,"0517-80816690,0517-89960111",http://157.0.5.169/
934,西南大学,211,综合类,重庆北碚区,"023-68252513,023-68250942",http://bkzsw.swu.edu.cn/
935,贵州大学,211,综合类,贵州花溪区,"0851-88305150,0851-88305151,0851-88292075",http://rso.gzu.edu.cn/
936,中国人民解放军海军军医大学,211,军事类,上海长宁区,021-81870199,http://ao.smmu.edu.cn/
937,空军军医大学,211,军事类,陕西新城区,029-84774157  84772777,http://zhaosheng.fmmu.edu.cn/
939,国防科技大学,985 211,军事类,湖南,0731-84574064,http://www.gotonudt.cn/
940,江西旅游商贸职业学院,专科（高职）,财经类,江西,"0791-83771588,0791-83771566,0791-83771544",http://zsb.jxlsxy.com/
941,江西农业工程职业学院,专科（高职）,农林类,江西樟树市,0795-7353583,http://www.jxaevc.com/zsw/ShowClass.asp?ClassID=211
942,江西青年职业学院,专科（高职）,综合类,江西,"0791-83814509,0791-83893355",http://zs.jxqy.com.cn/
943,江西机电职业技术学院,专科（高职）,理工类,江西,0791-83805950,http://zs.jxjdxy.edu.cn/html/nzs/index.html
944,江西陶瓷工艺美术职业技术学院,专科（高职）,艺术类,江西,"0798-8441370,0798-8416651,0798-8416652",http://www.jxgymy.com
946,江西制造职业技术学院,专科（高职）,综合类,江西,"0791-88122812,0791-88122318,0791-88122919",http://www.jxmtc.com/zsw/
947,上饶职业技术学院,专科（高职）,理工类,江西,"0793-8472000,0793-8472413",http://zs.srzy.cn/
948,江西应用技术职业学院,专科（高职）,理工类,江西,"0797-8326546,0797-8326576,0797-8327962",http://www.jxyyxy.com/zsw
949,江西财经职业学院,专科（高职）,财经类,江西,"0792-8183118,0792-8183220,0792-8183219",http://zjc.jxvc.jx.cn/
950,江西艺术职业学院,专科（高职）,艺术类,江西青山湖区,"0791-83810006,0791-83810007",https://www.jxysedu.com/Class_26/Default
951,赣西科技职业学院,专科（高职）,综合类,江西,"0790-6736399,0790-6435383",http://www.ganxidx.com/zs/
952,江西经济管理干部学院,专科（高职）,综合类,江西新建区,0791-83956683,http://zsb.jiea.cn/
953,江西航空职业技术学院,专科（高职）,理工类,江西南昌县,"0791-88448942,0791-88490764",
954,鹰潭职业技术学院,专科（高职）,综合类,江西,"0701-6650362,0701-6650369",http://www.jxytxy.cn/zsxx.html
955,江西建设职业技术学院,专科（高职）,理工类,江西,"0791-6713699,0791-6713599,0791-6713988",http://zsw.jxjsxy.edu.cn/
956,江西工业工程职业技术学院,专科（高职）,理工类,江西,"0799-7062207,0799-7062737",http://zsw.jxgcxy.net/
957,江西工程学院,普通本科,理工类,江西,"0790-6341023,0790-6351177",http://zsc.jxue.edu.cn/
958,江西信息应用职业技术学院,专科（高职）,理工类,江西,"0791-5273256,0791-5273257",http://zsb.jxcia.com/
959,江西环境工程职业学院,专科（高职）,农林类,江西,0797-8305312,http://jxhjxy.com/zsc
960,南方医科大学,普通本科,医药类,广东,"020-61648502,020-61648504",http://portal.smu.edu.cn/bkzs/
961,肇庆学院,普通本科,师范类,广东,0758-2716043,http://zsb.zqu.edu.cn
963,广东警官学院,普通本科,政法类,广东,"020-34068339,020-34067794",http://zsb.gdppla.edu.cn
964,广东技术师范大学,普通本科,师范类,广东天河区,"020-38265603,020-38256659",http://zs.gpnu.edu.cn
965,广东培正学院,普通本科,财经类,广东花都区,"020-86710202,020-86710302,020-86994646",http://zb.peizheng.edu.cn/
966,广东白云学院,普通本科,综合类,广东白云区,"020-36093333,020-36095908",http://zsb.baiyunu.edu.cn/
967,广州航海学院,普通本科,理工类,广东黄埔区,020-32081599,http://zsb.gzmtu.edu.cn/
968,肇庆医学高等专科学校,专科（高职）,医药类,广东,"0758-2857067,0758-2826224",https://xsc.zqmc.edu.cn/WebSite/AdmissionWeb/Index.html
970,广东农工商职业技术学院,专科（高职）,综合类,广东天河区,"020-85230071,020-85230197",http://zs.gdaib.edu.cn/
971,佛山职业技术学院,专科（高职）,综合类,广东三水区,"0757-87263121,0757-87263100",http://zs.fspt.net
972,广东松山职业技术学院,专科（高职）,理工类,广东曲江区,"0751-6502668,0751-6501666",http://zs.gdsspt.edu.cn/
973,广东新安职业技术学院,专科（高职）,综合类,广东南山区,"0755-36881398,0755-36881350",http://zs.gdxa.cn/
974,顺德职业技术学院,专科（高职）,综合类,广东顺德区,"0757-22327131,0757-22327132,0757-22323732",https://zs.sdpt.edu.cn/
975,潮汕职业技术学院,专科（高职）,综合类,广东,"0663-2290558,0663-2290588",http://www.chaoshan.cn/zsb
976,广东工商职业技术大学,普通本科,综合类,广东端州区,0758-6179018,http://zsb.gdbtu.edu.cn/
977,广东理工学院,普通本科,理工类,广东,"0758-8387888,0758-8387808",http://zsb.gdlgxy.edu.cn/
978,广州华南商贸职业学院,专科（高职）,综合类,广东白云区,"020-28388104,020-28388105",https://nzsw.scbt.edu.cn/
979,广州体育职业技术学院,专科（高职）,体育类,广东天河区,"020-85603035,020-85603039",http://zsb.gztzy.edu.cn
980,广东司法警官职业学院,专科（高职）,政法类,广东,"020-87083551,020-87083361",http://www.gdsfjy.cn:9001/zsxt-web/index.do
981,广州城市职业学院,专科（高职）,综合类,广东白云区,"020-86375471,020-86375473",http://zs.gcp.edu.cn
983,广东邮电职业技术学院,专科（高职）,理工类,广东天河区,"020-38253329,020-38252682",https://www.gupt.edu.cn/?DayEdu/Admissions/
984,清远职业技术学院,专科（高职）,综合类,广东清城区,"0763-3936666,0763-3936066,0763-3936888",https://zs.qypt.edu.cn/
985,深圳信息职业技术学院,专科（高职）,理工类,广东龙岗区,"0755-89226360,0755-89226361",http://zhaob.sziit.edu.cn
987,珠海城市职业技术学院,专科（高职）,综合类,广东金湾区,"0756-7253066,0756-7253616",https://zs.zhcpt.edu.cn/
988,江门职业技术学院,专科（高职）,综合类,广东,"0750-3725908,0750-3725289",http://zsxx.jmpt.cn/viscms/zsxx/putonggaokaozhaoshengwang8997/
989,惠州经济职业技术学院,专科（高职）,财经类,广东,"0752-3619806,0752-3619808",https://www.hzec.edu.cn/zhaoshengban/
990,广州华立科技职业学院,专科（高职）,综合类,广东,"020-82906888,020-32801002,020-32801003",http://www.hlxy.net/cszs/main.htm
991,广东工程职业技术学院,专科（高职）,理工类,广东,"020-37395432,020-37395743",http://www.gdep.edu.cn/zsw/
992,广东理工职业学院,专科（高职）,理工类,广东,"020-83505073,020-83493126",http://zs.gdpi.edu.cn/
993,河源职业技术学院,专科（高职）,综合类,广东,"0762-3800003,0762-3800006",http://zsb.hypt.edu.cn
994,阳江职业技术学院,专科（高职）,综合类,广东,"0662-3362800,0662-3300553",http://www.yjpt.edu.cn/zsb/index.html
995,广东岭南职业技术学院,专科（高职）,综合类,广东,"020-22305555,0763-3918555",https://zs.lnc.edu.cn/
997,广东女子职业技术学院,专科（高职）,其他,广东,"020-34557001,020-34557502",http://zsxx.gdfs.edu.cn/
998,汕尾职业技术学院,专科（高职）,综合类,广东,"0660-3386864,0660-3396865",http://www.swvtc.cn/html/zsw/index.html
999,广州现代信息工程职业技术学院,专科（高职）,理工类,广东,"020-22325918,020-22325955",http://zsb.gzmiec.edu.cn/
1000,广州科技职业技术大学,普通本科,综合类,广东白云区,"020-87410218,020-87410318,020-87410368",https://zs.gkd.edu.cn/
1001,广州涉外经济职业技术学院,专科（高职）,综合类,广东,"020-36783769,020-36783295",http://zsxx.gziec.edu.cn/
1002,广东科学技术职业学院,专科（高职）,综合类,广东天河区,"020-85297313,0756-7796101",http://www.gdit.edu.cn/zsb/main.htm
1004,广东行政职业学院,专科（高职）,综合类,广东,"020-86867108,020-86867162",https://www.gdxzzy.edu.cn/zsb/
1005,广州康大职业技术学院,专科（高职）,综合类,广东,"020-82878969,020-82872088,020-32971192",https://zsb.kdvtc.edu.cn/
1006,中国矿业大学（北京）,211,理工类,北京海淀区,"010-62331534,010-82381241",http://zb.cumtb.edu.cn
1007,武汉科技大学,普通本科,理工类,湖北,027-68862888,http://zs.wust.edu.cn
1008,长江工程职业技术学院,专科（高职）,理工类,湖北江夏区,"027-87933331,027-87933332",http://zs.cj-edu.com.cn/
1009,重庆科技学院,普通本科,理工类,重庆沙坪坝区,"023-65026868,023-65022363",http://zjc.cqust.edu.cn/
1010,上海商学院,普通本科,财经类,上海徐汇区,"021-54252879,021-64280270",http://zsw.sbs.edu.cn/
1011,上海政法学院,普通本科,政法类,上海青浦区,"021-39225065,021-39225175,021-39225177",http://zs.shupl.edu.cn/
1012,大庆师范学院,普通本科,师范类,黑龙江,"0459-5510088,0459-5510288",http://www.dqsy.net/zsjy.htm
1013,武汉铁路职业技术学院,专科（高职）,理工类,湖北,"027-51168665,027-51159355",http://zjc.wru.edu.cn/
1014,吉林农业科技学院,普通本科,农林类,吉林,"0432-63509600,0432-6350932,0432-63509034",
1015,随州职业技术学院,专科（高职）,理工类,湖北,"0722-3809888,0722-3809889",http://zsc.szvtc.cn/
1016,武汉航海职业技术学院,专科（高职）,理工类,湖北江汉区,"027-51868508,027-86811585,027-86811585",http://zs.whhhxy.com/
1017,长沙南方职业学院,专科（高职）,综合类,湖南天心区,0731-88120011,http://zs.nfdx.net/
1018,重庆交通大学,普通本科,理工类,重庆南岸区,"023-62652497,023-62652498",http://zsjy.cqjtu.edu.cn/zsw/default.aspx
1019,武汉警官职业学院,专科（高职）,政法类,湖北东西湖区,"027-83214207,027-83254957",http://zs.whpa.cn/
1020,福建医科大学,普通本科,医药类,福建,"0591-22860673,0591-22862773",http://www.fjmu.edu.cn/zs
1021,福建中医药大学,普通本科,医药类,福建,"0591-22861003,0591-22861250,0591-22861276",http://zsb.fjtcm.edu.cn/
1022,蚌埠医学院,普通本科,医药类,安徽,0552-3178336,https://jwc.bbmc.edu.cn/zsxx2.htm
1023,阜阳师范大学,普通本科,师范类,安徽颍州区,0558-2596225,http://www.fynu.edu.cn/bkzsxxw/
1024,安庆师范大学,普通本科,师范类,安徽迎江区,0556-5300117,http://zsw.aqnu.edu.cn/
1026,湖北理工学院,普通本科,理工类,湖北,"0714-6350612,0714-6372166,0714-6359652",http://zsxx.hbpu.edu.cn
1027,湖北警官学院,普通本科,政法类,湖北,"027-61630031,18007158361",http://zsxx.hbpa.edu.cn/
1029,长沙学院,普通本科,理工类,湖南,"0731-84261447,0731-84261436",http://zsjy.ccsu.cn/zssy.htm
1031,广东金融学院,普通本科,财经类,广东,"020-37215393,020-37216086",http://zs.gduf.edu.cn/
1033,右江民族医学院,普通本科,医药类,广西,"0776-2853922,0776-2848860",http://yyzs.ymcn.edu.cn/
1034,广西中医药大学,普通本科,医药类,广西,"0771-3122535,0771-3126099",http://zjc.gxtcmu.edu.cn/
1035,河池学院,普通本科,综合类,广西宜州区,0778-3142339,http://zs.hcnu.edu.cn/
1036,伊犁师范大学,普通本科,师范类,新疆伊宁市,0999-8137391,https://zsw.ylnu.edu.cn/
1038,重庆文理学院,普通本科,综合类,重庆永川区,023-49891968,http://zb.cqwu.edu.cn
1041,沈阳工程学院,普通本科,理工类,辽宁,"024-31975263,024-31975265",http://zhaosheng.sie.edu.cn
1042,赤峰学院,普通本科,综合类,内蒙古,"0476-8300205,0476-8300206",http://www.cfxy.cn/zs/
1043,西安文理学院,普通本科,师范类,陕西碑林区,"029-88221619,029-88221907",http://zsjyc.xawl.edu.cn/
1044,昆明学院,普通本科,综合类,云南,"0871-65098083,0871-65098085",http://zs.kmu.edu.cn/index.jsp
1045,黑河学院,普通本科,综合类,黑龙江五大连池市,"0456-6842222,0456-6842888,0456-6842777",http://www.hhxyzsb.com/
1046,广西财经学院,普通本科,财经类,广西,"0771-3835078,0771-3859737,0771-3843560",
1047,吉林医药学院,普通本科,医药类,吉林,0432-64560120,
1048,金陵科技学院,普通本科,理工类,江苏,"025-86188800,025-86188811",http://jitzs.university-hr.com/
1049,徐州工程学院,普通本科,综合类,江苏,0516-83105200,http://zjc.xzit.edu.cn/zhaosheng/
1050,河南职业技术学院,专科（高职）,理工类,河南,"0371-65687733,0371-69307333",http://zsjy.hnzj.edu.cn/
1051,江苏农牧科技职业学院,专科（高职）,农林类,江苏,"0523-86158999,0523-86158030,0523-86158666",http://www.jsahvc.edu.cn/zsxx/
1052,湖北经济学院法商学院,普通本科,财经类,湖北,"027-81972078,027-81972256",http://www.hbfs.edu.cn/zs/
1055,保险职业学院,专科（高职）,财经类,湖南,"0731-82816999,0731-82816975",https://www.bxxy.com/html/folder/20070139-1.htm
1056,湖北三峡职业技术学院,专科（高职）,理工类,湖北,"0717-8853388,0717-8853399,0717-8853339",http://zs.tgc.edu.cn/
1059,武汉交通职业学院,专科（高职）,理工类,湖北,027-88756299,
1061,厦门理工学院,普通本科,理工类,福建,"0592-6291114,0592-6291618",http://zsb.xmut.edu.cn
1062,哈尔滨师范大学,普通本科,师范类,黑龙江,0451-88060177,http://cs.hrbnu.edu.cn/zsxx.htm
1063,绥化学院,普通本科,综合类,黑龙江,"0455-8301333,0455-8301777,0455-8301888",http://zs.shxy.edu.cn/lnfs.htm
1064,淮阴师范学院,普通本科,师范类,江苏,"0517-83526999,0517-83526555",http://zb.hytc.edu.cn/
1065,南京工业职业技术大学,普通本科,理工类,江苏栖霞区,"400-080-1151,025-85864210",http://zs.niit.edu.cn
1066,浙江传媒学院,普通本科,语言类,浙江下城区,"0571-86832600,0571-86832630",http://zsw.cuz.edu.cn/
1067,辽宁科技学院,普通本科,理工类,辽宁,"024-43164073,024-43164077,024-43164078",http://zs.lnist.edu.cn/
1068,湖北城市建设职业技术学院,专科（高职）,理工类,湖北,"027-81326808,027-81326809",http://zhaosheng.hbucvc.edu.cn
1069,江苏工程职业技术学院,专科（高职）,理工类,江苏,"0513-80560444,0513-80560555",http://zsb.jcet.edu.cn/
1070,湖南人文科技学院,普通本科,综合类,湖南,0738-8325377,http://hnrkuzs.university-hr.cn/
1071,贵阳学院,普通本科,综合类,贵州,"0851-85400560,0851-85406767",http://zjc.gyu.cn/
1073,重庆工商大学,普通本科,财经类,重庆南岸区,023-62769696,https://acgozs.ctbu.edu.cn/
1074,湖北水利水电职业技术学院,专科（高职）,理工类,湖北,"027-87378079,027-87378095",http://www.hbsy.cn/zsw/
1075,成都医学院,普通本科,医药类,四川,"028-62739988,028-62739200",http://zs.cmc.edu.cn/
1077,文华学院,普通本科,理工类,湖北,"027-87583391,027-87583392,027-87583393",http://zhaosheng.hustwenhua.net/
1082,绵阳师范学院,普通本科,师范类,四川,"0816-2200001,0816-2202650",http://zs.mnu.cn
1083,内江师范学院,普通本科,师范类,四川,"0832-2341097,0832-2340613",http://njtczs.university-hr.cn/
1084,宜宾学院,普通本科,综合类,四川宜宾县,"0831-3530929,0831-3545029,0831-3553172",http://zsw.yibinu.edu.cn/
1085,乐山师范学院,普通本科,师范类,四川,"0833-2276288,0833-2276247",http://zs.lsnu.edu.cn/
1086,成都体育学院,普通本科,体育类,四川,028-85090713,http://zb.cdsu.edu.cn/
1089,曲靖师范学院,普通本科,师范类,云南,"0874-8998692,0874-8998620,0874-8965030",http://zsjyc.qjnu.edu.cn/
1090,榆林学院,普通本科,师范类,陕西,"0912-3893980,0912-3893826",https://zsxxw.yulinu.edu.cn/
1091,塔里木大学,普通本科,综合类,新疆阿拉尔市,"0997-4680620,0997-4681848",
1092,上海电机学院,普通本科,理工类,上海浦东新区,021-38223045,http://zhaosheng.sdju.edu.cn
1093,西藏藏医药大学,普通本科,医药类,西藏城关区,0891-6389670,http://www.ttmc.edu.cn/zsjy/zsxx.htm
1094,陇东学院,普通本科,综合类,甘肃,"0934-8658679,0934-8652820",https://zsjyc.ldxy.edu.cn/
1095,天水师范学院,普通本科,师范类,甘肃,"0938-8363669,0938-8350098",http://zjc.tsnu.edu.cn/
1096,广州南方学院,普通本科,综合类,广东从化区,"020-61787326,020-61787333",http://zsb.nfu.edu.cn
1097,苏州百年职业学院,专科（高职）,综合类,江苏苏州工业园区,"0512-62955666,0512-62955777,0512-62955778",http://zjw.scc.edu.cn/
1099,武汉华夏理工学院,普通本科,理工类,湖北,"027-87921666,027-81695660",http://zs.hxut.edu.cn/
1100,商丘医学高等专科学校,专科（高职）,医药类,河南,"0370-3251006,0370-3251076",http://www.sqyx.edu.cn/zs/
1102,西安航空学院,普通本科,理工类,陕西,"029-84257775,029-84250446",http://zb.xaau.edu.cn
1104,武昌首义学院,普通本科,理工类,湖北洪山区,"027-88426116,027-88426123",http://zs.wsyu.edu.cn/
1105,汉口学院,普通本科,综合类,湖北,"027-59410037,027-59410038,027-59410087",http://zs.hkxy.edu.cn/
1106,长江职业学院,专科（高职）,理工类,湖北江汉区,"027-87170101,027-87170202",http://zsjy.cjxy.edu.cn
1110,北京工商大学嘉华学院,普通本科,财经类,北京通州区,"010-69597736,010-69597746",http://zs.canvard.net.cn/
1112,北京工业大学耿丹学院,普通本科,综合类,北京顺义区,"010-60413296,010-60413297",http://www.gengdan.cn
1114,郑州经贸学院,普通本科,财经类,河南中原区,"0371-62499999,0371-62499855",http://www.zcib.edu.cn/zcib/site/RecruitmentNetwork/index.html
1115,北京邮电大学世纪学院,普通本科,综合类,北京延庆区,"010-62283773,010-61227318",http://zhaoban.ccbupt.cn
1116,江苏建筑职业技术学院,专科（高职）,理工类,江苏,"0516-83889021,0516-83888688",http://zsb.jsjzi.edu.cn/
1118,江苏警官学院,普通本科,政法类,江苏,025-52888910,http://www.jspi.cn/zsjy/zsxx.htm
1120,扬州环境资源职业技术学院,专科（高职）,农林类,江苏,0514-87436188,
1121,常州纺织服装职业技术学院,专科（高职）,理工类,江苏,"400-188-1251,0519-86336023,0519-86336019,151611739",https://zs.cztgi.edu.cn/
1124,三峡大学科技学院,普通本科,理工类,湖北,"0717-6394010,0717-6394011",http://kjxy.ctgu.edu.cn/zs_zz_/sy.htm
1125,郑州财经学院,普通本科,财经类,河南,"0371-86650005,0371-86650006,0371-86650007",http://zb.zzife.edu.cn
1127,陕西青年职业学院,专科（高职）,综合类,陕西,"029-88413889,029-88408292",http://zsw.sxqzy.com/
1128,陕西航空职业技术学院,专科（高职）,理工类,陕西,"0916-2385535,0916-2385536,0916-2385537",http://www.sxhkxy.com/zs.asp
1129,中国矿业大学徐海学院,普通本科,综合类,江苏,"0516-83884713,0516-83884716",http://xhzs.cumt.edu.cn/
1130,陕西警官职业学院,专科（高职）,政法类,陕西,"029-68756878,029-68756872",http://zhaosheng.sxjgxy.edu.cn/
1131,电子科技大学成都学院,普通本科,理工类,四川,"028-87825027,028-87825028,028-87825029",http://www.cduestc.cn/zs/
1132,内蒙古化工职业学院,专科（高职）,理工类,内蒙古,"0471-5260399,0471-5260388,0471-5260415",http://www.hgzyxy.com.cn/zsw/Index.html
1133,中南林业科技大学涉外学院,普通本科,综合类,湖南,"0731-88509596,0731-88509656,0731-89814015",http://swxy.csuft.edu.cn/zsw/
1134,太原工业学院,普通本科,理工类,山西晋源区,"0351-3568812,0351-3566080",http://zsxx.tit.edu.cn/
1136,吉林大学—莱姆顿学院,普通本科,综合类,吉林朝阳区,"0431-85168500,85168700,85168610,85168620",http://www.julc.cn
1139,南京森林警察学院,普通本科,政法类,江苏,025-85878735,http://zsjyc.forestpolice.net/
1140,南京特殊教育师范学院,普通本科,师范类,江苏,"025-89668111,025-89668222",http://info.njts.edu.cn/4043/list.htm
1141,南京铁道职业技术学院,专科（高职）,理工类,江苏,"400-108-1155,025-68204931",http://ntyzs.njrts.edu.cn/
1142,山东中医药大学,普通本科,医药类,山东,"0531-81650251,18354122627",http://zhaosheng.sdutcm.edu.cn
1143,南京理工大学泰州科技学院,普通本科,理工类,江苏,0523-86150066,http://zs.nustti.edu.cn
1144,武汉工程科技学院,普通本科,理工类,湖北,"027-81820255,027-81820266,027-81820277",http://zs.wuhues.com/
1145,东南大学成贤学院,普通本科,综合类,江苏,"400-100-6862,025-58690717",http://zs.cxxy.seu.edu.cn/
1146,陕西经济管理职业技术学院,专科（高职）,财经类,陕西,"029-88427211,029-88419444",
1147,郑州师范学院,普通本科,师范类,河南,"0371-86666195,0371-86666196,0371-86666197",http://zsb.zznu.edu.cn
1148,郑州工商学院,普通本科,理工类,河南巩义市,"0371-85303666,0371-85303777,0371-85303888",http://www.ztbu.edu.cn/zsb
1150,郑州电子信息职业技术学院,专科（高职）,综合类,河南,"0371-62179660,0371-62179526,0371-62179569",http://www.zyfb.com/zsjy/01.html
1151,常州工程职业技术学院,专科（高职）,理工类,江苏,0519-86332038,http://www.czie.edu.cn/zs/
1152,山西医科大学汾阳学院,普通本科,医药类,山西汾阳市,"0358-2100773,0358-7221024,0358-2100777",http://211.82.24.46/bkszs/
1153,内蒙古交通职业技术学院,专科（高职）,理工类,内蒙古,"0476-8823916,0476-8823857",http://www.nmjtxy.cn/zsw/
